Candidate,Party,Votes
"RAJEEV SINGH ""PARICHHA""",Bharatiya Janata Party,96713
YASHPAL SINGH YADAV,Samajwadi Party,79876
KRISHNA PAL SINGH RAJPOOT,Bahujan Samaj Party,42614
KALICHARAN KUSHWAHA,Jan Adhikar Manch,3282
OMVEER SINGH KUSHWAH,Rashtriya Lok Dal,1052
ROHINDRA KUMAR,Independent,1038
HARIOM,Independent,979
DHANI RAM,Independent,742
KIRAN DEVI,Shivsena,482
PAVAN YADAV,Sarv Sambhaav Party,440
OM PRAKASH AHIRWAR,Independent,372
RAM SEVAK SHARMA BRAHMCHARI,Rashtriya Sarvajan Party,303
LALARAM VERMA,Swatantra Jantaraj Party,287
None of the Above,None of the Above,1982
