Candidate,Party,Votes
KUNVAR MADHVENDRA PRATAP,Bharatiya Janata Party,92601
PADAMRAG SINGH YADAV,Samajwadi Party,65631
DR. ANUPAM DUBEY ADVOCATE,Bahujan Samaj Party,59791
YADUNANDAN LAL,Jan Adhikar Manch,3569
NEERAJ KUMAR,Independent,1620
MOHAMMAD ALAY RAZA,Rashtriya Lok Dal,1503
SUNIT KUMAR SINGH,Mahan Dal,1150
SUDHIR KUMAR,Independent,980
JAG JIVAN,Independent,754
ANIL KUMAR,Bahujan Mukti Party,627
AJAY PRATAP SINGH,Independent,411
RAJ PRAKASH SINGH,Rashtriya Shahri Vikas Party,400
RAMESH CHANDRA,Bhartiya Krishak Dal,341
UDIT PRATAP SINGH,Rashtriya Janpriya Party,329
MANOJ KUMAR,Rashtriya Janadhar  Party,304
None of the Above,None of the Above,1831
